event_id,original_event_id,version,asset,status,date,state,completed_work,work_to_do,delays,delay_comment,delay_duration,location,team_id,locked
68,41,2,WT3435,Complete,2023-05-22 00:00,Planned Overrun,"Finished plumbing engine cooler, Adjusted ALT  belt and fitted cover, Connected Intercool hoses,  Fitted belly guards, Trouble shoot fuel filter  plugged, Resealed leak timing cov",Sent back to work,Labour not available,High absenteeism,1,Workshop Bay 9,2,0
69,39,2,ST2020,In Process,2023-05-23 00:00,Planned On Track,"Finished off service, Tyre removed, Brake group  was tring to be removed was being stubbourn","Carry on with strut C/O, This machine to Otraco  after for pos 1 and 2 C/O",Wait on Tooling,Not enough Jacks for the work shop,3,Workshop Bay 12,2,0
70,42,2,DT5174,In Process,2023-05-22 00:00,Planned On Track,Window replaced Trim codes entered Diagnosed fuel leak,"Pos 3 wheel end C/O, X4 Dog bones to be  changed out parts have been ordered (this is break  in work), Pos 1 steer cylinder to be changed out  this is break in work.",No Parts Available (STR),WO# 435725469  WO# 435725470 WO# 435725471 WO# 435725511.,8,Workshop Bay 1,2,0
71,71,1,DT5200,In Process,2023-05-22 00:00,Planned On Track,Lube 70% Mech 50% Sparky 100%,"Carry on to backlogs,   Wiper motor Hoist pump",Labour not available,absenteeism meant less resources on job,1,Workshop Bay 12,2,0
72,39,3,ST2020,In Process,2023-05-23 00:00,Planned On Track,"Boily fabbed up something so we could try press  off, tried heating & still no good, removed whole  corner & have ordered wheel assemble ",Fit new strut & then fit new wheel assemble may  need to order some more parts,No Parts Available (STR),Parts for breakin job,3,Workshop Bay 12,2,0
73,42,3,DT5174,In Process,2023-05-23 00:00,Planned Overrun,"Prepped for removal, waited for otraco, they were   flat out & sort. Removed final drive ",Fit new final drive,Wait on Tooling,"Evac not working, 460W not working  cant fill hub oils  ",6,Workshop Bay 1,2,0
74,71,2,DT5200,In Process,2023-05-23 00:00,Planned On Track,"Finsihed off step 2 servcie & moved into bay 9,  went to replace hosit pump but BD wanted pump so  let them have it.",Hanback checklist & Update CFH Firmware to  1.8.11 for comm's ,Labour not available,absenteeism meant less resources on job,1,Workshop Bay 12,2,0
75,75,1,DT5259,In Process,2023-05-23 00:00,Planned On Track,called,service,No Delay,None,0,Workshop Bay 10,2,0
76,43,3,DT5258,In Process,2023-05-22 00:00,Breakdown,INSTALLED BOTH DOG BONES,GAS REAR STRUTS AND CHECK  GRASE OPERATION TO PINS,No Delay,None,1,Workshop Bay 8,2,0
77,57,2,DT5268,Complete,2023-05-22 00:00,Breakdown,FOUND SHORT IN STEERING  WIRING HARNESS REPAIRED,sent,No Delay,None,1,OB35 Park Up,2,0
78,47,3,DT5185,In Process,2023-05-22 00:00,Breakdown,"REPLACED CAM AND CRANK  SENSORS, REPLACED  BATTERIES, INSPECTED  INTAKE SYSTEM SENSORS",CONTINUE DIAGNOSING,Rework,diagnosis issues,1,SP30,2,0
79,59,2,DT5196,In Process,2023-05-23 00:00,Breakdown,ORDERED LEAKING SOFT  UNLOADER VALVE HOSE STR  FROM FX1C,wait on parts,No Parts Available (STR),STR HOSE 446- 0447 FROM  FX1C,12,Hill Crib,2,0
80,80,1,DT5123,In Process,2023-05-23 00:00,Breakdown,"ADJUSTED ARC SPEED LIMIT,  FOUND PULLED WIRE AT ARC  SPEED SOLENOID, CLEANED  VALVES",CONTINUE DIAGNOSING,No Parts Available (STR),2 PIN MALE  DEUTSCH  PLUG NOT IN  UTE,1,Hill Crib,2,0
81,81,1,DT5195,Complete,2023-05-23 00:00,Breakdown,CHECKED FILTERS AND  CONNECTORS STOPPED  FAULTING,sent,No Delay,None,0,Hill Crib,2,0
82,60,2,DT5230,Complete,2023-05-23 00:00,Breakdown,REPAIRED SHORT IN HARNESS,sent,No Delay,None,1,Hill Crib,2,0
83,83,1,DT5153,Complete,2023-05-23 00:00,Breakdown,LOOSE POS 1 MAG PLUG  TIGHTENED,sent,No Delay,None,0,Hill Crib,2,0
84,84,1,WT3446,Complete,2023-05-23 00:00,Breakdown,FILED BURR OFF LATCH AND  LUBRICATED ,sent,No Delay,None,0,Hill Crib,2,0
85,85,1,DT5150,Complete,2023-05-23 00:00,Breakdown,FOUND DIFF OIL TEMP SENSOR  TO NOT BE READING DUE TO  DIRTY CONNECTOR,sent,No Delay,None,0,Hill Crib,2,0
86,86,1,DT5151,Complete,2023-05-23 00:00,Breakdown,REINSTALLED BLIND THE  CORRECT WAY AROUND,sent,Rework,REINSTALLED BLIND THE  CORRECT WAY AROUND,2,Hill Crib,2,0
87,87,1,WT3447,Complete,2023-05-23 00:00,Breakdown,"HI BRAKE STROKE,  REINSTALLED PINS NOTHING  FOUND",sent,No Delay,None,0,Centre Pit,2,0
88,88,1,DT5233,Complete,2023-05-23 00:00,Breakdown,FOUND A/C SYSTEM TO HAVE  BLOWN FUSE - 10A USED  INSTEAD OF 20A,sent,Rework,10A USED  INSTEAD OF 20A,2,Hill Crib,2,0
89,89,1,DT5229,Complete,2023-05-23 00:00,Breakdown,TIGHTENED GREASE LINE,sent,No Delay,None,0,Hill Crib,2,0
90,80,2,DT5123,Complete,2023-05-23 00:00,Breakdown,"ADJUSTED ARC SPEED LIMIT,  FOUND PULLED WIRE AT ARC  SPEED SOLENOID, CLEANED  VALVES",sent,No Delay,None,1,Hill Crib,2,0
91,91,1,DT5187,In Process,2023-05-23 00:00,Breakdown,"ADJUSTED ARC SPEED LIMIT,  FOUND PULLED WIRE AT ARC  SPEED SOLENOID, CLEANED  VALVES",CONTINUE DIAGNOSING,No Parts Available (STR),2 PIN MALE  DEUTSCH  PLUG NOT IN  UTE,1,Hill Crib,2,0
92,92,1,DT5260,In Process,2023-05-23 00:00,Breakdown,PINCHED O-RING DIFF HOSE,FILL DIFF OIL @ WORKSHOP,Wait on Service Truck,None available,1,Hill Crib,2,0
93,93,1,DT5232,In Process,2023-05-23 00:00,Breakdown,REVERSE LIGHTS STUCK ON  AGAIN,fix,Rework,repeat customer,1,Hill Crib,2,0
94,94,1,DT5233,In Process,2023-05-23 00:00,Breakdown,LOWER HEADLIGHTS NOT  TURNING ON,not attended,Higher Priority Work,working on other bd's,2,Hill Crib,2,0
95,43,4,DT5258,In Process,2023-05-22 00:00,Breakdown,"Dog bones and Pos 3 Strut -  Continue with fitting of Pos 3  strut. Grease audit on dogbone  and strut grease injectors, strut",Ready to send to Otraco. They  had a breakdown so couldn't  send over,Wait on Ext Services,Borex be  borexing ,5,Workshop Bay 8,2,0
96,96,1,DT5178,In Process,2023-05-23 00:00,Breakdown,Fan hoses leaking,Parts should be at warehouse,Wait on Warehouse,"From  warehouse -  10485671,  10485670",6,Hill Crib,2,0
97,47,4,DT5185,In Process,2023-05-22 00:00,Breakdown,"Unexpected shut down - no  codes, crank but doesn’t start.  All 16 injectors leaking",CONTINUE DIAGNOSING,Rework,diagnosis issues,1,SP30,2,0
98,91,2,DT5187,In Process,2023-05-23 00:00,Breakdown,Auto Retard Fault fixed, RAX hose @ warehouse,Wait on Tooling,"Delay - Laptops missing in  workshop. Only One for use,  was flat this morning. 3x hours +",5,Hill Crib,2,0
99,99,1,WT3076,In Process,2023-05-23 00:00,Breakdown,Sprays not working ,Waiting to bring to workshop for  hyd oil leak - hoist valve leak,Higher Priority Work,"435718980,  435726750,  435718239,  435726148",3,Workshop Bay 8,2,0
100,100,1,DT5209,Complete,2023-05-23 00:00,Breakdown,Comms - 2 way not transmitting,Just keep an eye on this so M1  doesn't leave it down after  they've finished,Wait on Ext Services,None,1,Hill Crib,2,0
101,92,2,DT5260,Complete,2023-05-23 00:00,Breakdown, Diff oil level and rad cap,sent,Wait on Tooling,Delay - 60w diff oil limited  access in workshop,4,Hill Crib,2,0
102,102,1,DT5177,Complete,2023-05-23 00:00,Breakdown,Engine Oil Leak -Loose hose on  TC - replaced orings,sent,No Delay,None,0,Hill Crib,2,0
103,59,3,DT5196,Complete,2023-05-23 00:00,Breakdown,Soft unloader vavle - STR ex  FX1C. Built hose with onsite   hose sheds,sent,No Parts Available (STR),STR HOSE 446- 0447 FROM  FX1C,1,Hill Crib,2,0
104,93,2,DT5232,Complete,2023-05-23 00:00,Breakdown,Reverse lights stuck on - object  detectionswitching reverse  lights on,sent,Rework,repeat customer,1,Hill Crib,2,0
105,94,2,DT5233,Complete,2023-05-23 00:00,Breakdown,Bottom Headlights inop - refit  fuse,sent,Rework,fuse issues,1,Hill Crib,2,0
106,106,1,DT5184,In Process,2023-05-23 00:00,Breakdown,Oil leak behind Hyd tank,No parts   ordered ,Rework,Repeat customer,2,Hill Crib,2,0
107,107,1,DT5252,Complete,2023-05-23 00:00,Breakdown,Dog bone pins walking out ,"Went into Otraco for tyre smell,  ended up being dog bone pin",Higher Priority Work,working on other work,2,Workshop Bay 8,2,0
108,108,1,DT5188,In Process,2023-05-23 00:00,Breakdown,Large oil leak - Headed to hill,Turns out to be Coolant leak,No Parts Available (STR),STR parts  10368404 - 3 x  FX10,2,Hill Crib,2,0
109,71,3,DT5200,Complete,2023-05-23 00:00,Planned On Track,Diff oil top up 60w was down took 6 hrs to fix  Sent to auto techs ,Sent to auto cals for firmware update.,No Delay,none,1,Workshop Bay 12,2,0
110,110,1,WT3446,Complete,2023-05-23 00:00,Breakdown,"4 WK service completed, Mech done Elect done Tyres inspecte",sent,No Delay,None,0,Workshop Bay 1,2,0
111,75,2,DT5259,In Process,2023-05-23 00:00,Planned On Track,FSS completed Valve set completed Service completed Lube done Sparky done Chassis Dane Hose inspect done Sample hose made by Ryco ready to fit Rax cooling hoses fitted Soft unloaded completed Alish,Backlogs & Defects Fit trans sos line,Labour not available,absenteeism,2,Workshop Bay 10,2,0
112,42,4,DT5174,In Process,2023-05-23 00:00,Planned Overrun,Final drive fitted Mounting bolts torqued Axel fitted,Brake cooling pipes and hoses to fit Bleed brakes Top up oils Call OTRACO to fit outer tyre and remove pos 4  inner to prepare dog bone job,Labour not available,Absenteeism,2,Workshop Bay 1,2,0
113,39,4,ST2020,In Process,2023-05-23 00:00,Planned On Track,"Strut fitted, Tyre on,","Fill strut oil and gas, Bleed brakes, Send to  OTRACO for po2 tyre C/O",Incorrect Parts Ordered,"Incorrect scope for strut change out,  componant needed to come as a group  with spindle attached. Part numbers  WO# 417448161, The part numbers  ned to come as a group",6,Workshop Bay 12,2,0
114,75,3,DT5259,Complete,2023-05-23 00:00,Planned On Track,"Completed deects and Backlogs took for a test run  and had heaps things wrong leaking orings,  plugged filter, cross threaded hose, rectified al",Sent for calibrations cause otraco is so busy then  can come back after,Wait on Ext Services,Otraco labour,4,Workshop Bay 10,2,0
115,39,5,ST2020,Complete,2023-05-23 00:00,Planned On Track,"Replace boost hose, calibrated strut check over othere backlogs",Needs to go to Otraco for a tyre but hey are busy,Wait on Ext Services,"Waiting on otraco, Couldn’t hand back  truck cause it needed a tyre but otraco  to busy ",6,Workshop Bay 12,2,0
116,116,1,DT5187,In Process,2023-05-23 00:00,Planned On Track,cleared bay,"Prep for Outage Spiral wrapp engine harnes, pep  engine stand truck due for a wash at 2pm until end  of shift to start fresh on night shift ",No Delay,None,1,Workshop Bay 12,2,0
117,42,5,DT5174,In Process,2023-05-23 00:00,Planned Overrun,Fill hub oils and final drive otraco could not fit tyres  to busy ,"over to breakdowns now, assist wil labour if use  can. X2 dogbone replacements ",Wait on Ext Services,"417729263 - Waiting on tyres to be fitted &  removed, said were to busy & sort on labour  ER breakdown takes all piority ",12,Workshop Bay 1,2,0
118,118,1,DT5186,In Process,2023-05-23 00:00,Planned On Track,"Prepped bay for Step Step 2 service & backlogs,  washed machine mayh have started sample and  live 10%",Step 2 service and backlogs,No Delay,None,0,Workshop Bay 10,2,0
119,119,1,WC20,In Process,2023-05-23 00:00,Planned On Track,"16W service, washed running checks, Service 75%  done "," Fill oils finish of service as per paperwok, backlogs",No Delay,None,0,Workshop Bay 1,2,0
120,43,5,DT5258,In Process,2023-05-22 00:00,Breakdown,FITTED BREATHER DID GRESE  AUDIT FOUND DUMP VALVE U/S  REPLACED AND HANDED TO  OTRACO FOUND ENGINE OIL  COOLER LEAK ORDERED O- RINGS,REPLACE O-RINGS ON BRAKE  COOLER PIPE TO FILTER  HOUSING AND SEND FOR CALS,Wait on Ext Services,Otraco,6,Workshop Bay 8,2,0
121,47,5,DT5185,In Process,2023-05-22 00:00,Breakdown,"FINISHED DAYSHIFT FUEL  SYSTEM REPAIRS, CHECKED  T/C AND TRANS SCREENS,  INSPECTED FUEL HARNESS",CONTINUE DIAGNOSING -  ESTABLISH THE CORRECT  HARNESS WAS ORDERED FOR  THE FLASH FILE ON THAT  ENGINE,Rework,diagnosis issues,12,SP30,2,0
122,91,3,DT5187,Complete,2023-05-23 00:00,Breakdown,FITTED RAX HOSE,sent,No Delay,none,1,Hill Crib,2,0
123,99,2,WT3076,In Process,2023-05-23 00:00,Breakdown,REMOVED HOSES THAT RYCO  NEED TO MAKE AND STR'D  HOIST HOSE FROM JBAR,TAKE OLD PILOT LINE HOSES  TO RYCO TO MAKE,No Parts Available (STR),NO PARTS  AVAIL 3665414  & 3665415,8,Workshop Bay 8,2,0
124,106,2,DT5184,In Process,2023-05-23 00:00,Breakdown,REMOVED HOSE FROM BEHIND  TANK FOUND HOSE THAT WAS  STR'D WAS INCOREECT,HOSE BEING PICKED UP FROM  WAREHOUSE SHOULD BEWITH  TRUCK,Rework,2995335  INCORRECT HAD  TO STR CORRECT  HOSE FROM JBAR,12,Workshop Bay 1,2,0
125,125,1,DT5187,Complete,2023-05-23 00:00,Breakdown,REPLACED LEAKING RAX HOSE,sent,No Delay,None,1,Hill Crib,2,0
126,126,1,DT5232,Complete,2023-05-23 00:00,Breakdown,REORIENTATED DOG BONE  PIN/PLATE,sent,Rework,REORIENTATED DOG BONE  PIN/PLATE,3,Workshop Bay 9,2,0
127,108,2,DT5188,Complete,2023-05-23 00:00,Breakdown,REPAIRED LEAKING COOLANT  PIPE,sent,Rework,Incorrect Parts  Received MAIN SEAL O- RING NOT  ORDERED,2,Hill Crib,2,0
128,96,2,DT5178,Complete,2023-05-23 00:00,Breakdown,REPLACED ENGINE FAN HOSES,sent,Wait on Warehouse,HAD TO CALL  WAREHOSE TO  GET HOSE PUT IN  CAGE,2,Hill Crib,2,0
129,129,1,DT5260,Complete,2023-05-23 00:00,Breakdown,FOUND LOOSE CONNECTION  AT CAMERA RELAY,sent,Higher Priority Work,5178,2,Hill Crib,2,0
130,42,6,DT5174,In Process,2023-05-23 00:00,Breakdown,WAITING ON OTRACO FOR  TYRE REMOVAL,REPLACE WORN DOGBONES,Wait on Ext Services,"417729263 - Waiting on tyres to be fitted &  removed, said were to busy & sort on labour  ER breakdown takes all piority ",12,Workshop Bay 1,2,0
131,119,2,WC20,In Process,2023-05-24 00:00,Planned On Track,"John, Crispine, Birthwell DONE-Continued with SVC as per SVC sheet, TS dump body lower function fault, ordered hose & reverse alarm, brake checks, strut hieght checks, charge steer accumulators","TO DO-fitted ordered parts, alarm, hose, QA, RTW",No Delay,None,0,Workshop Bay 1,2,0
132,118,2,DT5186,In Process,2023-05-24 00:00,Planned On Track,"Mabel, Nick, Marco, Isaac DONE-SVC completed, Elec insp, chassis insp, boily work on RHS rear strut plate, fab & fit boss","TO DO- order fuel sep & fit, verify strut heights, backlogs on whit board, fill up fuel & prime fuel, run up checks, QA, RTW",No Delay,None,0,Workshop Bay 10,2,0
133,116,2,DT5187,In Process,2023-05-24 00:00,Planned On Track,"Job, Vusi DONE-Prep stands for engine & Rad, sorted out parts, ordered missing parts, prep platforms for RHS, sorted out hoses, removed old cross member mounts & installed new ones, prep bays, truck is on goline","TO DO-Wash machine, drain fluids, remove Rad, boily to extract broken bolts on prelube mounting",Wait on Equipment Delivery,was not delivered at 2pm was 3.30pm,2,Workshop Bay 12,2,0
134,134,1,DT5150,In Process,2023-05-24 00:00,Planned On Track,"Marco DONE-Drive shaft to be delivered tonight, area preped","TO DO-call when ready, Sup truck",No Delay,none,0,Workshop Bay 9,2,0
135,43,6,DT5258,Complete,2023-05-24 00:00,Breakdown,Oil leak from Engine oil pick up tube. Changed out the O-ring that was diagnosed and it did not fix the fault. Found that it was another O-ring. No parts in stock so found one ins our stores and fitted. Run up machine and sent for Cal,sent,Incorrect Parts Ordered,Incorrect parts ordered and Nil stock of 269- 7885 2 hrs. Incorrect diagnostic 4hrs,4,Workshop Bay 8,2,0
136,47,6,DT5185,In Process,2023-05-24 00:00,Breakdown,"Engine will not start. Have got machine running, detailed handover in emails and Webex",Continue Diagnosing,No Delay,none,0,SP30,2,0
137,99,3,WT3076,In Process,2023-05-24 00:00,Breakdown,Hose arrived and it was incorrect. Sent to Ryco to make and fitted hose. Ran up machine and found there was another leak from the Rear WDS manifold.,Continue on with Fixing leak,Incorrect Parts Ordered,Incorrect parts were ordered for the Job,5,Workshop Bay 8,2,0
138,138,1,DT5259,In Process,2023-05-24 00:00,Breakdown,AFFF let go. Chub are on site now fixing. They will work into NS to repair. Started at 4:30pm,Chubb to continue,Rework,Chubb serviced/ Repaired this Yesterday,12,Hill Crib,2,0
139,139,1,DT5177,In Process,2023-05-24 00:00,Breakdown,Oil leak from machine. It is covered in oil so we sent it back to the shop so we can clean it and then recheck. Machine on go line,Recheck,Wait on Operator,Wait on op 2hrs. No VOC operator to bring from the go line to the shop 1hr,3,Apron Bay 1,2,0
140,140,1,DT5189,Complete,2023-05-24 00:00,Breakdown,PB would not release. Sensor was full of crud. Cleaned out sensor and checked,sent,No Delay,None,0,Running in Pit,2,0
141,141,1,DT5260,Complete,2023-05-24 00:00,Breakdown,AC blowing warm. No fault found,sent,Operator Error,No fault found,2,Running in Pit,2,0
142,142,1,DT5123,Complete,2023-05-24 00:00,Breakdown,"HYD oil leak, not sure where this was done by B/D team but it was handed back",sent,Rework,rework,2,Running in Pit,2,0
143,143,1,DT5193,Complete,2023-05-24 00:00,Breakdown,Cab pressure low. Door striker needed to be adjusted,sent,No Delay,None,0,Running in Pit,2,0
144,42,7,DT5174,In Process,2023-05-24 00:00,Breakdown,Machine was in for planned work and it was identified that the dog bones have failed.,Has failed 2x dog bones and a steering Cylinder. Dog bones are out the back and Steering cylinder at the WH. Will need the Brakes bled then moved to the Apron of Bay 13 for the dog bone CO.,Wait on Ext Services,Waiting on Otrabros to Refit Pos 3 then remove Pos 5,12,Apron Bay 13,2,0
145,145,1,DT5189,In Process,2023-05-24 00:00,Breakdown,"EOS special, Retarder lever loose. It is fine to drive but the Op is saying it is unsafe. Will need to change out Retarder PN 200-8441",Will need to order parts and fit,No Delay,None,0,Hill Crib,2,0
146,146,1,DT5176,Complete,2023-05-24 00:00,Breakdown,Waiting on the big Donut to be fitted,Waiting on the big Donut to be fitted,Wait on Ext Services,Otrabros,12,Apron Bay 9,2,0
147,118,3,DT5186,Complete,2023-05-24 00:00,Planned On Track,"c/o fuel water separator, sensor assembly, steering  pump suction hose, brake cooler hose, checked  strut height, QA and RTW",RTW,No Delay,None,0,Workshop Bay 10,2,0
148,119,3,WC20,Complete,2023-05-24 00:00,Planned On Track,"C/O reverse alarm, T/C hose, QA and RTW ",rtw,No Delay,None,0,Workshop Bay 1,2,0
149,116,3,DT5187,In Process,2023-05-24 00:00,Planned On Track,"Removed Eng. bonnets, disconnected, exhaust,  induction, air con and removed radiator","Finish up disconnecting the t/c hose, drive shaft,  pump drive shaft  and remove engine",No Delay,None,0,Workshop Bay 12,2,0
150,134,2,DT5150,In Process,2023-05-24 00:00,Planned On Track,"HMU pump c/o lots of steering hoses, hydraulic  hoses",continue with slack adjusters c/o and main drive  shaft c/o once delivery is confirmed,Incorrect Parts Recieved, Drive shaft not delivered on time for the shut 303-2504,4,Workshop Bay 9,2,0
151,151,1,DT5177,In Process,2023-05-24 00:00,Planned On Track,Lube svc and inspection in progress. ," Finish up svc, RH water pump, LHS steering cyl c/o,   e-stat leaking and minor defects",No Delay,None ,0,Workshop Bay 10,2,0
152,152,1,DT5704,In Process,2023-05-24 00:00,Planned On Track,"Lube svc completed, electrical inspection, hose   inspection-  80% completed on the svc","Finish up svc as per SW, chassis inspection,  charge steering accumulators, eng water pump, pre- lube motor",No Delay,None,0,Workshop Bay 1,2,0
153,153,1,DT5258,Complete,2023-05-24 00:00,Breakdown,Pos 3 strut and dog bone repairs,sent,No Delay,none,0,OB35 AMA,2,0
154,138,2,DT5259,In Process,2023-05-24 00:00,Breakdown,Off to get tyres done,Off to get tyres done,No Delay,None,0,Otraco,2,0
155,47,7,DT5185,In Process,2023-05-24 00:00,Breakdown,Did not touch,"Engine will not start. Have got machine running, detailed handover in emails and Webex",Labour not available,"No labour, absenteeism >3",2,SP30,2,0
156,99,4,WT3076,In Process,2023-05-24 00:00,Breakdown,Parts ordered to repair leak on  WDS manifold hotshot from  J/Bar,Hose arrived and it was incorrect.  Ryco made new hose and was  fitted. Ran up machine and found  another leak from rear WDS  manifold,No Parts Available (STR),Hotshot parts from J/Bar   3542266x4 5P8119x6 ,6,Workshop Bay 8,2,0
